start	end	text
998	8639	Ovu knjigu vadomađim sa Iku posvećujemo sin nonan i nonotin, sin starin materane i starim joći.
8639	12820	Sin majkan i ociča su se trsili da ne pozabimo svoje beside.
12820	17641	Ovu knjigu prevelo je stotin ljudiča su se karali u naših klavah.
17641	26783	I oni živi, kaj smo sako tuli ko neću spiti vali, a i oni času davno pasali zovega svita, ma su njihove beside ostale u naših klavah.
29531	32674	Antoine de Saint-Exupéru.
32674	34857	Mići prince.
34857	41024	Neka midica oprste, časa novu knjigu posvetiv, jenimu velimu čoviku.
41024	43246	Man za to jenu dobro skužu.
43246	46129	On je najboj prijatelj igamana svitu.
46129	51135	Mani drugu skužu, ta veli, more se razumit, tako i knjige za dici.
51135	56939	Man treću skužu, ta veli čovik živi vo franziski kada je lačan i kada imuje zima.
56939	60702	Tribig bi mu ki je reći Čalipo i malo ga privit k sebi.
60702	68168	Ko se ove skuže nisu dosti radbin po svetiv ovu knjigu, ditetu koji je danput biv ta veli čovik.
68168	75453	Sisu veli jedanput bili mijadica, ma se malo njih tiga zmisli, popravjan onda svoju posvetu.
75453	77875	Leonu Vertu kad je biv mjići dečku.
